iter	Passed	Remaining
0	0	33
1	0	26
2	0	20
3	0	17
4	0	14
5	0	13
6	0	12
7	1	11
8	1	11
9	1	10
10	1	10
11	1	9
12	1	9
13	1	9
14	1	8
15	1	8
16	1	8
17	1	8
18	1	8
19	2	8
20	2	8
21	2	7
22	2	7
23	2	7
24	2	7
25	2	7
26	2	7
27	2	7
28	2	7
29	2	6
30	3	6
31	3	6
32	3	6
33	3	6
34	3	6
35	3	6
36	3	6
37	3	6
38	3	5
39	3	5
40	3	5
41	4	5
42	4	5
43	4	5
44	4	5
45	4	5
46	4	5
47	4	4
48	4	4
49	4	4
50	4	4
51	4	4
52	4	4
53	5	4
54	5	4
55	5	4
56	5	3
57	5	3
58	5	3
59	5	3
60	5	3
61	5	3
62	5	3
63	5	3
64	5	3
65	5	3
66	5	2
67	6	2
68	6	2
69	6	2
70	6	2
71	6	2
72	6	2
73	6	2
74	6	2
75	6	2
76	6	2
77	6	1
78	6	1
79	6	1
80	7	1
81	7	1
82	7	1
83	7	1
84	7	1
85	7	1
86	7	1
87	7	1
88	7	0
89	7	0
90	7	0
91	8	0
92	8	0
93	8	0
94	8	0
95	8	0
96	8	0
97	8	0
98	8	0
99	8	0
