Event_ID,Start_Idx,End_Idx,Start_Time,End_Time,Precipitation_mm,Irrigation_mm,Total_Water_mm,Duration_Hours,Scheduled_Irrigation_Hour
1,402,418,2026-01-01 08:00:00.002,2026-01-02 00:00:00.006,3.0271406539999997,0.0,3.0271406539999997,16.00000111111111,7
2,545,545,2026-01-07 07:00:00.000,2026-01-07 07:00:00.000,0.0,43.31210191,43.31210191,0.0,7
3,905,946,2026-01-22 07:00:00.000,2026-01-24 00:00:00.000,32.907467489,50.95541401,83.862881499,41.0,7
4,1042,1042,2026-01-28 00:00:00.000,2026-01-28 00:00:00.000,45.2881279,0.0,45.2881279,0.0,7
5,1569,1569,2026-02-19 00:00:00.000,2026-02-19 00:00:00.000,0.006542965,0.0,0.006542965,0.0,7
6,2128,2128,2026-03-14 07:00:00.000,2026-03-14 07:00:00.000,0.0,25.47770701,25.47770701,0.0,7
7,2169,2193,2026-03-16 00:00:00.000,2026-03-17 00:00:00.000,4.340133667,0.0,4.340133667,24.0,7
8,2224,2224,2026-03-18 07:00:00.000,2026-03-18 07:00:00.000,0.0,12.7388535,12.7388535,0.0,7
9,2254,2289,2026-03-19 13:00:00.000,2026-03-21 00:00:00.000,81.441088205,0.0,81.441088205,35.0,7
10,2440,2440,2026-03-27 07:00:00.000,2026-03-27 07:00:00.000,0.008723953,31.84713376,31.855857713,0.0,7
11,2493,2505,2026-03-29 12:00:00.000,2026-03-30 00:00:00.000,4.76122351,0.0,4.76122351,12.0,7
12,2553,2553,2026-04-01 00:00:00.000,2026-04-01 00:00:00.000,0.407027632,0.0,0.407027632,0.0,7
13,2625,2649,2026-04-04 00:00:00.000,2026-04-05 00:00:00.000,9.201517582000001,0.0,9.201517582000001,24.0,7
14,2727,2745,2026-04-08 06:00:00.000,2026-04-09 00:00:00.000,39.6747818,50.95541401,90.63019580999999,18.0,7
15,3040,3040,2026-04-21 07:00:00.000,2026-04-21 07:00:00.000,0.0,152.866242,152.866242,0.0,7
16,3225,3225,2026-04-29 00:00:00.000,2026-04-29 00:00:00.000,0.274432093,0.0,0.274432093,0.0,7
17,3273,3273,2026-05-01 00:00:00.000,2026-05-01 00:00:00.000,0.464513749,0.0,0.464513749,0.0,7
18,3327,3369,2026-05-03 06:00:00.000,2026-05-05 00:00:00.000,14.237595557999999,0.0,14.237595557999999,42.0,7
19,3417,3441,2026-05-07 00:00:00.000,2026-05-08 00:00:00.000,0.56313777,0.0,0.56313777,24.0,7
20,3513,3537,2026-05-11 00:00:00.000,2026-05-12 00:00:00.000,2.362739205,0.0,2.362739205,24.0,7
