Event,Partition,Depth_cm,Sensor_derived_FC_Reference,SWDP_R_FC,Hybrid_FC,SWDP_R_Error,Hybrid_Error,DeltaError
3,Training,125,0.3732790952380955,0.3720740476384959,0.3737268490465639,0.0012050475995996068,0.0004477538084683985,-0.0007572937911312083
4,Training,85,0.3367834285714288,0.3316000150477199,0.3339158461650418,0.00518341352370888,0.0028675824063870148,-0.002315831117321865
4,Training,105,0.350422523809524,0.3481310995098801,0.3499936094134493,0.002291424299643907,0.0004289143960746755,-0.0018625099035692316
10,Training,85,0.2686317142857144,0.2676822217452616,0.2689331575656316,0.0009494925404528454,0.00030144327991715736,-0.000648049260535688
14,Training,45,0.2774883333333335,0.2771651485311512,0.2781321436777744,0.00032318480218229695,0.0006438103444408871,0.0003206255422585902
14,Training,50,0.277222523809524,0.2770449487155531,0.2779792065924132,0.00017757509397092752,0.0007566827828892064,0.0005791076889182789
14,Training,65,0.273781523809524,0.2731490834184512,0.2741381241766274,0.0006324403910727971,0.00035660036710344345,-0.0002758400239693537
15,Chronological_Test,15,0.2689575714285716,0.2695233119320339,0.2708398969555515,0.0005657405034623086,0.0018823255269799222,0.0013165850235176135
15,Chronological_Test,85,0.3043356190476193,0.3053626913550087,0.3069482132262875,0.0010270723073894095,0.002612594178668215,0.0015855218712788055
15,Chronological_Test,105,0.3311395714285716,0.3314468673812709,0.3331230718241613,0.00030729595269929355,0.001983500395589699,0.0016762044428904055
15,Chronological_Test,125,0.3589599523809526,0.3588907137345002,0.3605669181773906,6.92386464523631e-05,0.0016069657964380424,0.0015377271499856793
