Event_ID,Column,Depth_cm,Peak_VMC,FC_Direct_SensorReference,FC_SWDP_R,SWDP_R_R2,SWDP_R_RMSE,SWDP_R_MAE,SWDP_R_Bias,SWDP_R_n,SWDP_R_duration_hours,SWDP_R_slope,SWDP_R_intercept,SWDP_R_valid,SWDP_R_failure_reason,FC_R_FP,FC_SWDP_K_Rate,FC_SWDP_K_Geometric,Method_Spread,FC_Consensus_Index
3,SM_VWCFinal_125_m3_m3_,125,0.3752776190476193,0.3732790952380955,0.3720740476384959,0.7868339333746507,9.18028465333285e-05,7.903004759874377e-05,-1.6653345369377347e-17,10,9.0,0.027284629756991627,0.3720740476384959,True,Valid,0.3748560000000003,0.3731007619047621,0.3741013333333336,0.002781952361504414,0.3731899285714288
4,SM_VWCFinal_85_m3_m3_,85,0.3450631428571431,0.3367834285714288,0.3316000150477199,0.9887791686161325,8.50592093424942e-05,7.538708228007063e-05,-2.3869795029440865e-16,10,9.0,0.14854259705651313,0.3316000150477199,True,Valid,0.3444638571428574,0.3367834285714288,0.3443045238095241,0.012863842095137468,0.3367834285714288
4,SM_VWCFinal_105_m3_m3_,105,0.3553923809523812,0.350422523809524,0.34813109950988014,0.9493640745016516,0.00011222342740352936,9.083791898404913e-05,2.1649348980190552e-16,10,9.0,0.06129576144323519,0.34813109950988014,True,Valid,0.3550265714285717,0.350422523809524,0.3544282380952383,0.006895471918691554,0.350422523809524
10,SM_VWCFinal_85_m3_m3_,85,0.2693387619047621,0.2686317142857144,0.2676822217452616,0.9289594433352648,5.8942132579414846e-05,5.201478353286659e-05,-3.8857805861880476e-17,10,9.0,0.02139342263854616,0.2676822217452616,True,Valid,0.2692038571428573,0.2690830952380954,0.2691757619047621,0.0015216353975956998,0.2688574047619049
14,SM_VWCFinal_45_m3_m3_,45,0.2792539047619049,0.2774883333333335,0.2771651485311512,0.742387878472746,4.8412385396155856e-05,4.099024548235297e-05,-5.551115123125783e-17,10,9.0,0.006359622609332344,0.2771651485311512,True,Valid,0.2790607619047621,0.2777004285714288,0.277899142857143,0.0018956133736108827,0.27759438095238115
14,SM_VWCFinal_50_m3_m3_,50,0.2777383809523811,0.277222523809524,0.2770449487155531,0.6677335881639168,5.2102057448098074e-05,4.688290103515569e-05,-6.106226635438361e-17,10,9.0,0.0035534660900486226,0.2770449487155531,True,Valid,0.2775536666666668,0.2775536666666668,0.2772629523809525,0.0005087179511137352,0.2773880952380954
14,SM_VWCFinal_65_m3_m3_,65,0.2770399523809526,0.273781523809524,0.27314908341845123,0.7575077857529356,6.416906687688238e-05,5.4425247472050795e-05,-1.6653345369377347e-17,10,9.0,0.021099050425879073,0.27314908341845123,True,Valid,0.2770171904761906,0.2770399523809526,0.2746353809523811,0.003890868962501348,0.2753993571428573
15,SM_VWCFinal_15_m3_m3_,15,0.2826751904761906,0.2689575714285716,0.26952331193203394,0.8157248313904983,0.000753560369487945,0.0006802904107596887,-3.700743415417188e-17,9,9.0,0.005897136398018626,0.26952331193203394,True,Valid,0.2689575714285716,0.270560904761905,0.2746959523809525,0.001603333333333401,0.26924044168030276
15,SM_VWCFinal_85_m3_m3_,85,0.3312874761904764,0.3043356190476193,0.3053626913550087,0.8352428975925976,0.0012510237857599465,0.0011305495948592148,3.8857805861880476e-17,10,9.0,0.010708627266465945,0.3053626913550087,True,Valid,0.3043356190476193,0.3085045238095241,0.3118599047619049,0.00416890476190479,0.304849155201314
15,SM_VWCFinal_105_m3_m3_,105,0.3496009523809526,0.3311395714285716,0.33144686738127094,0.8264560533113002,0.0014819366815736266,0.001324803676697356,1.6653345369377347e-17,10,9.0,0.01229472185232041,0.33144686738127094,True,Valid,0.3318306190476192,0.3318306190476192,0.3377340476190478,0.0006910476190475912,0.3316387432144451
15,SM_VWCFinal_125_m3_m3_,125,0.3646450476190479,0.3589599523809526,0.35889071373450027,0.7424332204639251,0.0003333796499748185,0.0002798765315129181,-5.551115123125783e-18,10,9.0,0.0021518241282481336,0.35889071373450027,True,Valid,0.3603400476190479,0.3591924761904764,0.3606790476190479,0.0014493338845476544,0.35907621428571446
