Event_ID,Column,Depth_cm,SAX_Word,LOEO_SAX_Hamming_Similarity
3,SM_VWCFinal_125_m3_m3_,125,eedcbbaa,0.6875
4,SM_VWCFinal_85_m3_m3_,85,eeddcbaa,0.625
4,SM_VWCFinal_105_m3_m3_,105,eeddcbaa,0.625
10,SM_VWCFinal_85_m3_m3_,85,edcdddaa,0.4375
14,SM_VWCFinal_45_m3_m3_,45,eedbbbaa,0.6875
14,SM_VWCFinal_50_m3_m3_,50,edddbaba,0.5
14,SM_VWCFinal_65_m3_m3_,65,eedcbaaa,0.625
15,SM_VWCFinal_15_m3_m3_,15,edccbbba,0.5
15,SM_VWCFinal_85_m3_m3_,85,edcbbbba,0.48214285714285715
15,SM_VWCFinal_105_m3_m3_,105,eddcbbaa,0.6785714285714286
15,SM_VWCFinal_125_m3_m3_,125,edcbbbbb,0.35714285714285715
