parameter,parameter_value,candidate_events,valid_events,rejected_events,fc_estimates,n_depth_event_observations,loeo_rmse,loeo_mae,loeo_r2,holdout_rmse,holdout_mae,holdout_r2,bias,n_predictions
max_interpolation_gap,0.0 h,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
max_interpolation_gap,1.0 h,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
max_interpolation_gap,2.0 h,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
max_interpolation_gap,3.0 h,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
savitzky_golay_smoothing,"w=5, p=2",20,5,15,12,12,0.001664070728269317,0.001559319386931569,0.8453919241029583,0.0014809578066294824,0.0012404598531953054,0.9980196475302704,0.0012404598531953054,12
savitzky_golay_smoothing,"w=7, p=2",20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
savitzky_golay_smoothing,"w=9, p=2",20,5,15,10,10,0.0014746824779546806,0.0014625960406036882,0.1845169673077921,0.0010572644111699744,0.0008858437292154075,0.9977486731425713,0.0008858437292154075,10
ietd_hours,12.0 h,31,6,25,14,14,0.001038327901080179,0.0009472681432535213,0.958674329781828,0.0004108626336776777,0.0004108626336776777,,-0.0004108626336776777,14
ietd_hours,24.0 h,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
ietd_hours,36.0 h,18,6,12,12,12,,,,,,,,0
ietd_hours,48.0 h,14,6,8,12,12,,,,,,,,0
sax_word_length,6,20,5,15,11,11,0.0012059003860697163,0.001205375174922594,0.375578346512908,0.0020590624086761506,0.002026074151273191,0.9961663593599606,0.002026074151273191,11
sax_word_length,8,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
sax_word_length,10,20,5,15,11,11,0.0012145253078538337,0.0012139419158778233,0.38934543175390185,0.0020364736136466283,0.002003303277675103,0.9962500113342219,0.002003303277675103,11
sax_alphabet_size,4,20,5,15,11,11,0.0012148038192158614,0.0012140510133650437,0.3895657240881566,0.0019111972206939517,0.001875137806008842,0.9966971915218275,0.001875137806008842,11
sax_alphabet_size,5,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
sax_alphabet_size,6,20,5,15,11,11,0.0012262830259060363,0.0012257589674048532,0.37538844442001507,0.001987004526898566,0.0019528434066025113,0.9964299845676936,0.0019528434066025113,11
rebound_threshold,0.001 m3/m3,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
rebound_threshold,0.002 m3/m3,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
rebound_threshold,0.003 m3/m3,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
rebound_threshold,0.004 m3/m3,20,5,15,11,11,0.0012219383478118545,0.0012213699637983557,0.37372130176040536,0.0020545930632462194,0.0020213464744189974,0.996182983692521,0.0020213464744189974,11
